"subject_nr","PPList","Identical","Orientation1","Orientation2","Picture1","Picture2","response","correct","response_time","gender","year","month","fullscreen","File","opensesame_codename","opensesame_version","experiment_file"
2,"PP_LIST2.csv","N","H","V","fire_extinguisherH.jpg","fire_extinguisherV.jpg","j",1,432,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","H","H","scssorH.jpg","scssorH.jpg","j",1,505,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","H","H","penH.jpg","penH.jpg","j",1,552,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","ladder.jpg","house.jpg","j",0,334,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","buggy.jpg","glass.jpg","j",0,452,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","needle.jpg","tiger.jpg","j",0,455,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","V","V","broomV.jpg","broomV.jpg","j",1,432,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","H","V","brushH.jpg","brushV.jpg","j",1,406,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","knife.jpg","ladder.jpg","j",0,410,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","ftball.jpg","nut.jpg","j",0,587,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","H","H","plateH.jpg","plateH.jpg","j",1,777,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","H","H","tireH.jpg","tireH.jpg","j",1,195,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","Y","H","H","screwH.jpg","screwH.jpg","j",1,232,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","N","V","H","nailV.jpg","nailH.jpg","j",1,1527,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
2,"PP_LIST2.csv","F","F","F","tlphon.jpg","knife.jpg","j",0,408,"Female",2002,11,"no","subject-2.csv","Kafkaesque Koffka","3.2.6","OrientationCrossLanguages_2018PSA_PP_1.1.0.osexp"
